model_type,task_type,question_idx,gold_answer,baseline_stop_window,baseline_tokens_saved,stop_window_0.50,stop_window_0.85,stop_window_0.95,tokens_saved_0.50,tokens_saved_0.85,tokens_saved_0.95,is_correct_full,is_correct_baseline,is_correct_0.50,is_correct_0.85,is_correct_0.95
GPT3.5,strategy,662,no,5,2001,5,5,40,2001,2001,0,True,True,True,True,True
GPT3.5,strategy,663,yes,35,217,5,5,10,1545,1545,1340,True,True,True,True,True
GPT3.5,strategy,664,no,5,1343,5,5,5,1343,1343,1343,True,True,True,True,True
GPT3.5,strategy,665,yes,10,846,5,5,10,958,958,846,False,False,False,False,False
GPT3.5,strategy,666,yes,10,1100,5,5,10,1253,1253,1100,True,True,True,True,True
GPT3.5,strategy,667,yes,5,1256,5,5,40,1256,1256,0,False,False,False,False,False
GPT3.5,strategy,668,no,5,1634,5,5,40,1634,1634,0,True,True,True,True,True
GPT3.5,strategy,669,yes,5,1759,5,5,5,1759,1759,1759,False,False,False,False,False
GPT3.5,strategy,670,yes,10,1356,5,5,15,1573,1573,1143,True,True,True,True,True
GPT3.5,strategy,671,no,5,1394,5,5,5,1394,1394,1394,True,True,True,True,True
GPT3.5,strategy,672,no,5,1235,5,5,5,1235,1235,1235,True,True,True,True,True
GPT3.5,strategy,673,yes,5,970,5,5,40,970,970,0,True,True,True,True,True
GPT3.5,strategy,674,no,5,1731,5,5,5,1731,1731,1731,True,True,True,True,True
GPT3.5,strategy,675,no,5,1456,5,5,35,1456,1456,207,True,True,True,True,True
GPT3.5,strategy,676,no,5,1768,5,5,5,1768,1768,1768,True,True,True,True,True
GPT3.5,strategy,677,yes,5,1645,5,5,5,1645,1645,1645,True,True,True,True,True
GPT3.5,strategy,678,yes,5,1409,5,5,5,1409,1409,1409,False,False,False,False,False
GPT3.5,strategy,679,no,5,1858,5,5,10,1858,1858,1578,True,True,True,True,True
GPT3.5,strategy,680,no,5,990,5,5,5,990,990,990,False,False,False,False,False
GPT3.5,strategy,681,no,5,1776,5,5,20,1776,1776,1009,True,True,True,True,True
GPT3.5,strategy,682,no,5,1311,5,5,5,1311,1311,1311,True,True,True,True,True
GPT3.5,strategy,683,no,5,1870,5,5,40,1870,1870,0,True,True,True,True,True
GPT3.5,strategy,684,yes,5,1385,5,5,40,1385,1385,0,False,False,False,False,False
GPT3.5,strategy,685,yes,5,2236,5,5,30,2236,2236,642,True,True,True,True,True
GPT3.5,strategy,686,yes,5,892,5,5,5,892,892,892,True,True,True,True,True
GPT3.5,strategy,687,no,5,1603,5,5,20,1603,1603,975,True,True,True,True,True
GPT3.5,strategy,688,yes,30,564,5,5,10,2051,2051,1742,False,False,False,False,False
GPT3.5,strategy,689,yes,5,1218,5,5,5,1218,1218,1218,True,True,True,True,True
GPT3.5,strategy,690,no,5,2161,5,5,5,2161,2161,2161,True,True,True,True,True
GPT3.5,strategy,691,no,5,1540,5,5,5,1540,1540,1540,True,True,True,True,True
GPT3.5,strategy,692,no,5,1004,5,5,5,1004,1004,1004,True,True,True,True,True
GPT3.5,strategy,693,yes,40,0,5,5,20,1829,1829,1042,False,False,False,False,False
GPT3.5,strategy,694,yes,5,1622,5,5,35,1622,1622,259,True,True,True,True,True
GPT3.5,strategy,695,yes,5,1094,5,5,10,1094,1094,939,True,True,True,True,True
GPT3.5,strategy,696,yes,5,1929,5,5,40,1929,1929,0,False,False,False,False,False
GPT3.5,strategy,697,no,5,1511,5,5,5,1511,1511,1511,True,True,True,True,True
GPT3.5,strategy,698,yes,5,1188,5,5,40,1188,1188,0,False,False,False,False,False
GPT3.5,strategy,699,no,5,1314,5,5,5,1314,1314,1314,True,True,True,True,True
GPT3.5,strategy,700,yes,10,1336,5,5,10,1572,1572,1336,True,True,True,True,True
GPT3.5,strategy,701,yes,5,1089,5,5,5,1089,1089,1089,True,True,True,True,True
GPT3.5,strategy,702,yes,5,2100,5,5,5,2100,2100,2100,True,True,True,True,True
GPT3.5,strategy,703,yes,10,1199,5,5,40,1362,1362,0,False,False,False,False,False
GPT3.5,strategy,704,no,5,1086,5,5,25,1086,1086,448,True,True,True,True,True
GPT3.5,strategy,705,no,5,1287,5,5,10,1287,1287,1110,True,True,True,True,True
GPT3.5,strategy,706,yes,5,1777,5,5,5,1777,1777,1777,False,False,False,False,False
GPT3.5,strategy,707,yes,5,1360,5,5,15,1360,1360,967,False,False,False,False,False
GPT3.5,strategy,708,yes,40,0,5,5,35,1777,1777,223,False,False,False,False,False
GPT3.5,strategy,709,no,5,1385,5,5,5,1385,1385,1385,True,True,True,True,True
GPT3.5,strategy,710,no,5,1575,5,5,30,1575,1575,435,True,True,True,True,True
GPT3.5,strategy,711,no,10,1612,5,5,40,1872,1872,0,True,True,True,True,True
GPT3.5,strategy,712,yes,5,1554,5,5,10,1554,1554,1334,False,False,False,False,False
GPT3.5,strategy,713,yes,10,846,5,5,10,1002,1002,846,True,True,True,True,True
GPT3.5,strategy,714,yes,40,0,5,5,5,1583,1583,1583,True,True,False,False,False
GPT3.5,strategy,715,no,5,1640,5,5,5,1640,1640,1640,True,True,True,True,True
GPT3.5,strategy,716,yes,15,1236,5,5,35,1695,1695,238,False,False,False,False,False
GPT3.5,strategy,717,yes,5,1685,5,5,40,1685,1685,0,True,True,True,True,True
GPT3.5,strategy,718,no,5,1685,5,5,5,1685,1685,1685,True,True,True,True,True
GPT3.5,strategy,719,yes,10,429,10,10,10,429,429,429,False,False,False,False,False
GPT3.5,strategy,720,yes,5,1541,5,5,5,1541,1541,1541,False,False,False,False,False
GPT3.5,strategy,721,yes,5,1539,5,5,40,1539,1539,0,False,False,False,False,False
GPT3.5,strategy,722,no,5,1322,5,5,10,1322,1322,1150,True,True,True,True,True
GPT3.5,strategy,723,no,5,1416,5,5,5,1416,1416,1416,True,True,True,True,True
GPT3.5,strategy,724,no,5,1009,5,5,10,1009,1009,884,True,True,True,True,True
GPT3.5,strategy,725,no,5,1271,5,5,5,1271,1271,1271,True,True,True,True,True
GPT3.5,strategy,726,yes,5,1862,5,5,40,1862,1862,0,False,False,False,False,False
GPT3.5,strategy,727,yes,25,658,5,5,40,1331,1331,0,False,False,False,False,False
GPT3.5,strategy,728,no,5,1348,5,5,5,1348,1348,1348,True,True,True,True,True
GPT3.5,strategy,729,yes,10,1288,5,5,10,1522,1522,1288,False,False,False,False,False
GPT3.5,strategy,730,no,5,1860,5,5,5,1860,1860,1860,True,True,True,True,True
GPT3.5,strategy,731,no,10,1122,5,5,5,1298,1298,1298,True,True,True,True,True
GPT3.5,strategy,732,no,5,1415,5,5,5,1415,1415,1415,True,True,True,True,True
GPT3.5,strategy,733,yes,15,1434,5,5,5,1941,1941,1941,True,True,True,True,True
GPT3.5,strategy,734,no,5,1637,5,5,5,1637,1637,1637,True,True,True,True,True
GPT3.5,strategy,735,yes,10,1255,5,5,25,1465,1465,753,True,True,True,True,True
GPT3.5,strategy,736,no,5,1235,5,5,5,1235,1235,1235,True,True,True,True,True
GPT3.5,strategy,737,no,40,0,5,20,40,1770,1039,0,False,False,False,False,False
GPT3.5,strategy,738,yes,5,1716,5,5,5,1716,1716,1716,True,True,True,True,True
GPT3.5,strategy,739,yes,5,1462,5,5,15,1462,1462,1096,True,True,True,True,True
GPT3.5,strategy,740,no,5,1578,5,5,10,1578,1578,1341,True,True,True,True,True
GPT3.5,strategy,741,no,40,0,5,5,15,1630,1630,1133,False,False,True,True,True
GPT3.5,strategy,742,yes,5,1137,5,5,10,1137,1137,985,False,False,False,False,False
GPT3.5,strategy,743,no,5,848,5,5,40,848,848,0,True,True,True,True,True
GPT3.5,strategy,744,no,5,1150,5,5,5,1150,1150,1150,True,True,True,True,True
GPT3.5,strategy,745,no,5,1653,5,5,10,1653,1653,1402,True,True,True,True,True
GPT3.5,strategy,746,no,30,440,5,5,10,1574,1574,1343,True,True,False,False,True
GPT3.5,strategy,747,no,10,1603,5,5,10,1941,1941,1603,True,True,True,True,True
GPT3.5,strategy,748,no,10,1529,5,5,40,1751,1751,0,True,True,True,True,True
GPT3.5,strategy,749,yes,5,1219,5,5,15,1219,1219,860,False,False,False,False,False
GPT3.5,strategy,750,yes,5,1208,5,5,5,1208,1208,1208,True,True,True,True,True
GPT3.5,strategy,751,no,5,1437,5,5,5,1437,1437,1437,True,True,True,True,True
GPT3.5,strategy,752,yes,5,1509,5,5,10,1509,1509,1307,True,True,True,True,True
GPT3.5,strategy,753,yes,15,1004,5,40,40,1479,0,0,False,False,False,False,False
GPT3.5,strategy,754,no,5,1699,5,5,10,1699,1699,1448,True,True,True,True,True
GPT3.5,strategy,755,no,5,3126,5,5,5,3126,3126,3126,False,False,False,False,False
GPT3.5,strategy,756,no,5,1558,5,5,5,1558,1558,1558,True,True,True,True,True
GPT3.5,strategy,757,yes,5,886,5,5,15,886,886,628,True,True,True,True,True
GPT3.5,strategy,758,no,5,1264,5,5,10,1264,1264,1070,True,True,True,True,True
GPT3.5,strategy,759,no,5,1031,5,5,5,1031,1031,1031,True,True,True,True,True
GPT3.5,strategy,760,yes,10,1568,5,5,10,1804,1804,1568,True,True,True,True,True
GPT3.5,strategy,761,no,5,1234,5,5,5,1234,1234,1234,True,True,True,True,True
GPT3.5,strategy,762,no,5,1612,5,5,10,1612,1612,1401,True,True,True,True,True
GPT3.5,strategy,763,yes,5,1740,5,15,40,1740,1248,0,True,True,True,True,True
GPT3.5,strategy,764,no,5,2060,5,5,40,2060,2060,0,True,True,True,True,True
GPT3.5,strategy,765,yes,40,0,5,5,5,1173,1173,1173,False,False,False,False,False
GPT3.5,strategy,766,no,5,1170,5,5,5,1170,1170,1170,True,True,True,True,True
GPT3.5,strategy,767,no,5,1665,5,5,5,1665,1665,1665,True,True,True,True,True
GPT3.5,strategy,768,no,5,1575,5,5,5,1575,1575,1575,True,True,True,True,True
GPT3.5,strategy,769,yes,5,1129,5,5,5,1129,1129,1129,True,True,True,True,True
GPT3.5,strategy,770,yes,40,0,5,5,10,1772,1772,1501,False,False,False,False,False
GPT3.5,strategy,771,yes,40,0,15,15,40,944,944,0,False,False,False,False,False
GPT3.5,strategy,772,no,5,1730,5,5,5,1730,1730,1730,True,True,True,True,True
GPT3.5,strategy,773,no,20,865,5,5,5,1590,1590,1590,True,True,True,True,True
GPT3.5,strategy,774,no,5,1499,5,5,5,1499,1499,1499,True,True,True,True,True
GPT3.5,strategy,775,yes,5,1839,5,5,20,1839,1839,1003,True,True,True,True,True
GPT3.5,strategy,776,yes,5,1259,5,5,15,1259,1259,892,True,True,True,True,True
GPT3.5,strategy,777,no,5,1531,5,5,5,1531,1531,1531,True,True,True,True,True
GPT3.5,strategy,778,no,5,1441,5,5,5,1441,1441,1441,True,True,True,True,True
GPT3.5,strategy,779,yes,5,1215,5,5,10,1215,1215,1062,True,True,True,True,True
GPT3.5,strategy,780,no,5,2175,5,5,5,2175,2175,2175,True,True,True,True,True
GPT3.5,strategy,781,yes,5,1534,5,5,5,1534,1534,1534,True,True,True,True,True
GPT3.5,strategy,782,yes,20,898,5,5,40,1641,1641,0,False,False,True,True,False
GPT3.5,strategy,783,no,5,1212,5,5,5,1212,1212,1212,True,True,True,True,True
GPT3.5,strategy,784,no,5,1671,5,5,10,1671,1671,1406,True,True,True,True,True
GPT3.5,strategy,785,yes,15,965,5,5,5,1323,1323,1323,False,False,False,False,False
GPT3.5,strategy,786,yes,5,1315,5,5,40,1315,1315,0,True,True,True,True,True
GPT3.5,strategy,787,no,5,1122,5,5,5,1122,1122,1122,True,True,True,True,True
GPT3.5,strategy,788,no,35,247,5,5,5,1517,1517,1517,True,True,True,True,True
GPT3.5,strategy,789,no,5,826,5,5,5,826,826,826,True,True,True,True,True
GPT3.5,strategy,790,yes,15,877,5,5,5,1226,1226,1226,True,True,False,False,False
GPT3.5,strategy,791,no,5,1635,5,5,5,1635,1635,1635,True,True,True,True,True
GPT3.5,strategy,792,yes,5,2192,5,5,10,2192,2192,1909,True,True,True,True,True
GPT3.5,strategy,793,no,5,1206,5,5,5,1206,1206,1206,True,True,True,True,True
GPT3.5,strategy,794,no,5,1370,5,5,5,1370,1370,1370,True,True,True,True,True
GPT3.5,strategy,795,yes,5,1616,5,5,5,1616,1616,1616,True,True,True,True,True
GPT3.5,strategy,796,no,5,1168,5,5,5,1168,1168,1168,True,True,True,True,True
GPT3.5,strategy,797,no,10,1032,5,5,10,1186,1186,1032,False,False,False,False,False
GPT3.5,strategy,798,no,5,1904,5,5,40,1904,1904,0,True,True,True,True,True
GPT3.5,strategy,799,no,10,1429,5,5,40,1677,1677,0,True,True,True,True,True
GPT3.5,strategy,800,yes,5,1053,5,5,30,1053,1053,258,False,False,False,False,False
GPT3.5,strategy,801,yes,5,1254,5,5,5,1254,1254,1254,True,True,True,True,True
GPT3.5,strategy,802,yes,5,1270,5,5,20,1270,1270,743,False,False,False,False,False
GPT3.5,strategy,803,yes,5,1051,5,10,40,1051,918,0,True,True,True,True,True
GPT3.5,strategy,804,no,5,1337,5,5,40,1337,1337,0,True,True,True,True,True
GPT3.5,strategy,805,yes,5,1643,5,5,40,1643,1643,0,True,True,True,True,True
GPT3.5,strategy,806,yes,5,1121,5,5,15,1121,1121,806,True,True,True,True,True
GPT3.5,strategy,807,no,5,1167,5,5,5,1167,1167,1167,True,True,True,True,True
GPT3.5,strategy,808,no,5,1251,5,5,5,1251,1251,1251,True,True,True,True,True
GPT3.5,strategy,809,no,5,960,5,5,10,960,960,828,True,True,True,True,True
GPT3.5,strategy,810,no,5,2414,5,5,10,2414,2414,2050,True,True,True,True,True
GPT3.5,strategy,811,yes,5,1082,5,5,10,1082,1082,959,True,True,True,True,True
GPT3.5,strategy,812,no,5,1197,5,5,5,1197,1197,1197,True,True,True,True,True
GPT3.5,strategy,813,yes,40,0,5,5,5,1252,1252,1252,False,False,False,False,False
GPT3.5,strategy,814,no,35,294,5,5,10,2047,2047,1761,True,True,True,True,True
GPT3.5,strategy,815,yes,5,1990,5,5,20,1990,1990,1089,True,True,True,True,True
GPT3.5,strategy,816,no,5,1627,5,5,5,1627,1627,1627,True,True,True,True,True
GPT3.5,strategy,817,yes,5,1151,5,5,5,1151,1151,1151,True,True,True,True,True
GPT3.5,strategy,818,no,5,1442,5,5,5,1442,1442,1442,True,True,True,True,True
GPT3.5,strategy,819,yes,40,0,5,10,40,1369,1139,0,False,False,False,False,False
GPT3.5,strategy,820,no,5,1440,5,5,30,1440,1440,388,True,True,True,True,True
GPT3.5,strategy,821,yes,40,0,5,10,40,1753,1470,0,False,False,False,False,False
GPT3.5,strategy,822,yes,5,1520,5,5,5,1520,1520,1520,False,False,False,False,False
GPT3.5,strategy,823,yes,5,1067,10,40,40,933,0,0,False,False,False,False,False
GPT3.5,strategy,824,yes,5,939,5,5,10,939,939,816,True,True,True,True,True
GPT3.5,strategy,825,no,5,1436,5,5,5,1436,1436,1436,True,True,True,True,True
GPT3.5,strategy,826,no,5,967,5,5,5,967,967,967,True,True,True,True,True
GPT3.5,strategy,827,no,5,1316,5,5,5,1316,1316,1316,True,True,True,True,True
GPT3.5,strategy,828,yes,10,1258,5,5,5,1455,1455,1455,True,True,True,True,True
GPT3.5,strategy,829,no,5,1762,5,5,5,1762,1762,1762,True,True,True,True,True
GPT3.5,strategy,830,yes,40,0,5,5,5,1579,1579,1579,True,True,True,True,True
GPT3.5,strategy,831,yes,5,1700,5,5,5,1700,1700,1700,True,True,True,True,True
GPT3.5,strategy,832,no,5,1165,5,5,25,1165,1165,493,True,True,True,True,True
GPT3.5,strategy,833,yes,30,440,5,5,15,1465,1465,1057,False,False,False,False,False
GPT3.5,strategy,834,yes,5,1143,5,15,25,1143,764,473,False,False,False,False,False
GPT3.5,strategy,835,yes,10,945,5,5,5,1102,1102,1102,True,True,True,True,True
GPT3.5,strategy,836,no,5,1597,5,5,40,1597,1597,0,True,True,True,True,True
GPT3.5,strategy,837,no,5,1116,5,5,5,1116,1116,1116,True,True,True,True,True
GPT3.5,strategy,838,yes,25,788,5,5,40,1952,1952,0,False,False,False,False,False
GPT3.5,strategy,839,no,5,1653,5,5,5,1653,1653,1653,True,True,True,True,True
GPT3.5,strategy,840,yes,10,1808,5,10,30,2112,1808,593,False,False,False,False,False
GPT3.5,strategy,841,yes,5,1583,5,5,10,1583,1583,1293,True,True,True,True,True
GPT3.5,strategy,842,no,5,1902,5,5,5,1902,1902,1902,True,True,True,True,True
GPT3.5,strategy,843,no,5,1306,5,5,5,1306,1306,1306,True,True,True,True,True
GPT3.5,strategy,844,yes,5,1279,5,5,5,1279,1279,1279,False,False,False,False,False
GPT3.5,strategy,845,no,5,1056,5,5,5,1056,1056,1056,True,True,True,True,True
GPT3.5,strategy,846,no,10,1015,5,5,40,1183,1183,0,True,True,True,True,True
GPT3.5,strategy,847,yes,5,1392,5,5,5,1392,1392,1392,False,False,False,False,False
GPT3.5,strategy,848,no,5,1754,5,5,5,1754,1754,1754,True,True,True,True,True
GPT3.5,strategy,849,no,5,1145,5,5,5,1145,1145,1145,True,True,True,True,True
GPT3.5,strategy,850,yes,35,212,5,5,5,1468,1468,1468,False,False,False,False,False
GPT3.5,strategy,851,yes,10,1211,5,5,10,1397,1397,1211,False,False,False,False,False
GPT3.5,strategy,852,yes,5,1031,5,5,5,1031,1031,1031,True,True,True,True,True
GPT3.5,strategy,853,no,5,1293,5,5,15,1293,1293,940,True,True,True,True,True
GPT3.5,strategy,854,no,5,1530,5,5,5,1530,1530,1530,True,True,True,True,True
GPT3.5,strategy,855,yes,5,1588,5,5,40,1588,1588,0,True,True,True,True,True
GPT3.5,strategy,856,yes,5,1471,5,5,40,1471,1471,0,False,False,False,False,False
GPT3.5,strategy,857,no,5,1463,5,5,5,1463,1463,1463,True,True,True,True,True
GPT3.5,strategy,858,yes,5,1988,5,5,5,1988,1988,1988,False,False,False,False,False
GPT3.5,strategy,859,yes,40,0,5,5,5,2082,2082,2082,False,False,False,False,False
GPT3.5,strategy,860,no,5,963,5,5,25,963,963,412,True,True,True,True,True
GPT3.5,strategy,861,no,30,495,5,5,25,1818,1818,766,True,True,True,True,True
GPT3.5,strategy,862,no,5,1397,5,5,5,1397,1397,1397,True,True,True,True,True
GPT3.5,strategy,863,no,5,1170,5,5,40,1170,1170,0,True,True,True,True,True
GPT3.5,strategy,864,no,5,1749,5,5,5,1749,1749,1749,False,False,False,False,False
GPT3.5,strategy,865,no,5,1562,5,5,5,1562,1562,1562,True,True,True,True,True
GPT3.5,strategy,866,yes,5,1681,5,5,10,1681,1681,1415,False,False,False,False,False
GPT3.5,strategy,867,no,5,1285,5,5,5,1285,1285,1285,True,True,True,True,True
GPT3.5,strategy,868,no,15,1015,5,5,15,1429,1429,1015,True,True,True,True,True
GPT3.5,strategy,869,yes,35,300,5,5,5,2053,2053,2053,True,True,True,True,True
GPT3.5,strategy,870,no,35,226,5,5,5,1603,1603,1603,True,True,True,True,True
GPT3.5,strategy,871,yes,5,1123,5,5,5,1123,1123,1123,True,True,True,True,True
GPT3.5,strategy,872,yes,25,1060,5,5,15,2420,2420,1744,True,True,True,True,True
GPT3.5,strategy,873,no,5,1331,5,5,10,1331,1331,1134,True,True,True,True,True
GPT3.5,strategy,874,no,25,696,5,5,5,1599,1599,1599,True,True,True,True,True
GPT3.5,strategy,875,no,5,1206,5,5,5,1206,1206,1206,True,True,True,True,True
GPT3.5,strategy,876,yes,40,0,5,5,40,2033,2033,0,True,True,True,True,True
GPT3.5,strategy,877,yes,5,1676,5,5,5,1676,1676,1676,True,True,True,True,True
GPT3.5,strategy,878,no,5,1506,5,5,5,1506,1506,1506,True,True,True,True,True
GPT3.5,strategy,879,yes,5,1875,5,5,20,1875,1875,1095,True,True,True,True,True
GPT3.5,strategy,880,yes,5,1018,5,5,10,1018,1018,879,True,True,True,True,True
GPT3.5,strategy,881,no,5,1817,5,5,5,1817,1817,1817,True,True,True,True,True
GPT3.5,strategy,882,no,5,1655,5,5,15,1655,1655,1183,True,True,True,True,True
GPT3.5,strategy,883,yes,15,1062,5,5,10,1484,1484,1268,False,False,False,False,False
GPT3.5,strategy,884,yes,40,0,5,5,40,1696,1696,0,True,True,True,True,True
GPT3.5,strategy,885,no,40,0,5,5,5,2230,2230,2230,True,True,True,True,True
GPT3.5,strategy,886,no,5,1429,5,5,5,1429,1429,1429,False,False,False,False,False
GPT3.5,strategy,887,no,5,1743,5,5,10,1743,1743,1501,True,True,True,True,True
GPT3.5,strategy,888,yes,5,1729,5,5,5,1729,1729,1729,True,True,True,True,True
GPT3.5,strategy,889,yes,5,1574,5,5,5,1574,1574,1574,False,False,False,False,False
GPT3.5,strategy,890,no,10,1293,5,5,5,1502,1502,1502,False,False,False,False,False
GPT3.5,strategy,891,no,15,1132,5,5,15,1582,1582,1132,False,False,False,False,False
GPT3.5,strategy,892,no,5,1137,5,5,35,1137,1137,163,True,True,True,True,True
GPT3.5,strategy,893,no,5,1263,5,5,5,1263,1263,1263,True,True,True,True,True
GPT3.5,strategy,894,yes,5,1350,5,5,5,1350,1350,1350,False,False,False,False,False
GPT3.5,strategy,895,no,5,1055,5,5,10,1055,1055,904,True,True,True,True,True
GPT3.5,strategy,896,yes,40,0,5,5,5,969,969,969,True,True,False,False,False
GPT3.5,strategy,897,no,20,1128,5,5,5,1961,1961,1961,True,True,True,True,True
GPT3.5,strategy,898,no,5,1381,5,5,5,1381,1381,1381,True,True,True,True,True
GPT3.5,strategy,899,no,5,1661,5,5,5,1661,1661,1661,True,True,True,True,True
GPT3.5,strategy,900,no,5,1333,5,5,5,1333,1333,1333,True,True,True,True,True
GPT3.5,strategy,901,yes,10,1342,5,5,10,1588,1588,1342,True,True,True,True,True
GPT3.5,strategy,902,no,5,1392,5,5,5,1392,1392,1392,True,True,True,True,True
GPT3.5,strategy,903,no,5,1350,5,5,5,1350,1350,1350,True,True,True,True,True
GPT3.5,strategy,904,yes,5,709,5,5,10,709,709,601,False,False,False,False,False
GPT3.5,strategy,905,yes,40,0,5,20,40,1403,675,0,False,False,False,False,False
GPT3.5,strategy,906,yes,40,0,5,5,15,1272,1272,908,False,False,True,True,False
GPT3.5,strategy,907,no,5,1376,5,5,15,1376,1376,986,True,True,True,True,True
GPT3.5,strategy,908,yes,5,1161,5,5,5,1161,1161,1161,False,False,False,False,False
GPT3.5,strategy,909,no,5,1009,5,5,5,1009,1009,1009,True,True,True,True,True
GPT3.5,strategy,910,yes,5,1499,5,5,10,1499,1499,1262,False,False,False,False,False
GPT3.5,strategy,911,yes,40,0,5,5,5,1877,1877,1877,False,False,False,False,False
GPT3.5,strategy,912,yes,15,803,5,5,40,1125,1125,0,False,False,False,False,False
GPT3.5,strategy,913,yes,10,1338,5,10,15,1531,1338,1104,False,False,False,False,False
GPT3.5,strategy,914,no,5,1494,5,5,5,1494,1494,1494,True,True,True,True,True
GPT3.5,strategy,915,no,5,1749,5,5,5,1749,1749,1749,True,True,True,True,True
GPT3.5,strategy,916,no,40,0,5,40,40,1759,0,0,True,True,True,True,True
GPT3.5,strategy,917,no,30,433,5,15,40,1530,1082,0,True,True,True,True,True
GPT3.5,strategy,918,no,5,1326,5,5,5,1326,1326,1326,True,True,True,True,True
GPT3.5,strategy,919,no,5,1314,5,5,5,1314,1314,1314,True,True,True,True,True
GPT3.5,strategy,920,yes,35,198,5,5,10,1339,1339,1146,True,True,True,True,True
GPT3.5,strategy,921,no,5,1777,5,5,5,1777,1777,1777,True,True,True,True,True
GPT3.5,strategy,922,yes,40,0,5,5,40,1836,1836,0,False,False,True,True,False
GPT3.5,strategy,923,no,5,1438,5,5,5,1438,1438,1438,True,True,True,True,True
GPT3.5,strategy,924,yes,10,1307,5,5,10,1483,1483,1307,False,False,False,False,False
GPT3.5,strategy,925,no,5,1405,5,5,40,1405,1405,0,True,True,True,True,True
GPT3.5,strategy,926,yes,30,625,5,5,40,2120,2120,0,False,False,False,False,False
GPT3.5,strategy,927,no,5,1445,5,5,5,1445,1445,1445,True,True,True,True,True
GPT3.5,strategy,928,no,5,1466,5,5,40,1466,1466,0,True,True,True,True,True
GPT3.5,strategy,929,yes,15,1014,5,5,5,1427,1427,1427,False,False,False,False,False
GPT3.5,strategy,930,yes,5,1880,5,5,5,1880,1880,1880,True,True,True,True,True
GPT3.5,strategy,931,yes,5,1490,5,5,5,1490,1490,1490,False,False,False,False,False
GPT3.5,strategy,932,no,10,1389,5,5,5,1636,1636,1636,True,True,True,True,True
GPT3.5,strategy,933,no,5,1247,5,5,5,1247,1247,1247,True,True,True,True,True
GPT3.5,strategy,934,yes,10,975,5,5,10,1148,1148,975,True,True,True,True,True
GPT3.5,strategy,935,yes,20,841,5,5,5,1517,1517,1517,False,False,False,False,False
GPT3.5,strategy,936,yes,20,749,5,5,5,1256,1256,1256,True,True,True,True,True
GPT3.5,strategy,937,yes,5,1287,5,5,5,1287,1287,1287,False,False,False,False,False
GPT3.5,strategy,938,no,5,1605,5,5,25,1605,1605,699,True,True,True,True,True
GPT3.5,strategy,939,yes,5,1116,5,5,5,1116,1116,1116,True,True,True,True,True
GPT3.5,strategy,940,no,5,1016,5,5,15,1016,1016,740,True,True,True,True,True
GPT3.5,strategy,941,no,5,1063,5,5,25,1063,1063,458,True,True,True,True,True
GPT3.5,strategy,942,no,5,1366,5,5,5,1366,1366,1366,True,True,True,True,True
GPT3.5,strategy,943,no,5,1713,5,5,5,1713,1713,1713,True,True,True,True,True
GPT3.5,strategy,944,yes,5,1946,5,5,40,1946,1946,0,True,True,True,True,True
GPT3.5,strategy,945,no,5,1554,5,5,5,1554,1554,1554,True,True,True,True,True
GPT3.5,strategy,946,no,10,1301,5,5,40,1509,1509,0,True,True,True,True,True
GPT3.5,strategy,947,no,40,0,5,5,10,1677,1677,1415,False,False,False,False,False
GPT3.5,strategy,948,yes,10,1013,5,5,5,1181,1181,1181,False,False,False,False,False
GPT3.5,strategy,949,yes,5,1249,5,5,5,1249,1249,1249,True,True,True,True,True
GPT3.5,strategy,950,no,5,1020,5,5,5,1020,1020,1020,True,True,True,True,True
GPT3.5,strategy,951,yes,5,1933,5,5,30,1933,1933,574,True,True,True,True,True
GPT3.5,strategy,952,yes,5,1754,5,5,40,1754,1754,0,True,True,True,True,True
GPT3.5,strategy,953,yes,5,1231,5,5,10,1231,1231,1041,False,False,False,False,False
GPT3.5,strategy,954,yes,5,1536,5,5,10,1536,1536,1339,True,True,True,True,True
GPT3.5,strategy,955,yes,15,515,5,15,40,683,515,0,True,True,True,True,True
GPT3.5,strategy,956,no,5,1213,5,5,10,1213,1213,1016,True,True,True,True,True
GPT3.5,strategy,957,no,5,2163,5,5,5,2163,2163,2163,True,True,True,True,True
GPT3.5,strategy,958,no,5,1419,5,5,5,1419,1419,1419,True,True,True,True,True
GPT3.5,strategy,959,no,5,1246,5,5,10,1246,1246,1076,True,True,True,True,True
GPT3.5,strategy,960,no,5,921,5,5,5,921,921,921,True,True,True,True,True
GPT3.5,strategy,961,no,10,1262,5,5,20,1471,1471,831,True,True,True,True,True
GPT3.5,strategy,962,yes,10,1293,5,5,5,1526,1526,1526,True,True,True,True,True
GPT3.5,strategy,963,yes,5,1263,5,5,30,1263,1263,296,True,True,True,True,True
GPT3.5,strategy,964,no,10,1493,5,5,40,1727,1727,0,True,True,True,True,True
GPT3.5,strategy,965,no,10,1611,5,5,5,1855,1855,1855,True,True,True,True,True
GPT3.5,strategy,966,no,5,1660,5,5,20,1660,1660,957,True,True,True,True,True
GPT3.5,strategy,967,no,5,1341,5,5,20,1341,1341,768,True,True,True,True,True
GPT3.5,strategy,968,no,5,732,5,5,5,732,732,732,True,True,True,True,True
GPT3.5,strategy,969,no,40,0,5,40,40,778,0,0,True,True,False,True,True
GPT3.5,strategy,970,no,5,1731,5,15,25,1731,1280,775,True,True,True,True,True
